TIMESTAMP,NOME_HASH,VIBRACAO,INTENCAO,CARTA,REGENCIA
2026-01-28 02:35:13,2250645079340287235,6,'Sou do submundo vou prosperar vendendo santa kaya e coca com Ian Chagas?','A LUA','EXU'
2026-01-28 02:46:52,2440081819477656431,6,Porque só consigo caminhar no submundo?,O ENFORCADO,EXU
2026-01-28 02:49:24,6309295225993466581,6,'Vou me apaixonar por uma gotica esse ano?','A RODA DA FORTUNA','EXU'
2026-01-28 02:54:32,7396799713555623298,6,'Dinheiro e amor com uma asiatica ou gotica',OS ENAMORADOS,OXUM,CONJUNÇÃO,Não
2026-01-28 02:59:57,fb9ef37009,11,'Vou ficar rico?',O JULGAMENTO,EXU,SIM
2026-01-29 15:11:20,d5ab868018,6,'BCP e viagem de volta psra sorocaba',O HIEROFANTE,OXUM,NAO
2026-01-29 15:38:25,98094a80ab,7,'Gostaria de saber se foi uma boa ideia ter vindo na casa do Luiz Miguel da Silva Souza',RODA DA FORTUNA,EXU,NAO
